Date,Open,High,Low,Close,Adj Close,Volume
2010-07-06,86.989998,86.989998,86.989998,86.989998,86.989998,10
2010-07-07,86.989998,86.989998,86.989998,86.989998,86.989998,0
2010-07-08,86.989998,86.989998,86.989998,86.989998,86.989998,0
2010-07-09,86.989998,86.989998,86.989998,86.989998,86.989998,0
2010-07-12,91.870003,91.870003,91.209999,91.209999,91.209999,10
2010-07-13,91.209999,91.209999,91.209999,91.209999,91.209999,0
2010-07-14,91.209999,91.209999,91.209999,91.209999,91.209999,0
2010-07-15,91.209999,91.209999,91.209999,91.209999,91.209999,0
2010-07-16,91.300003,91.300003,91.300003,91.300003,91.300003,0
2010-07-19,90.519997,90.519997,90.519997,90.519997,90.519997,0
2010-07-20,90.709999,90.709999,90.709999,90.709999,90.709999,0
2010-07-21,92.830002,92.830002,92.830002,92.830002,92.830002,2
2010-07-22,93.029999,93.029999,93.029999,93.029999,93.029999,0
2010-07-23,93.029999,93.029999,93.029999,93.029999,93.029999,0
2010-07-26,93.029999,93.029999,93.029999,93.029999,93.029999,0
2010-07-27,93.029999,93.029999,93.029999,93.029999,93.029999,0
2010-07-28,93.029999,93.029999,93.029999,93.029999,93.029999,0
2010-07-29,93.290001,93.290001,93.290001,93.290001,93.290001,0
2010-07-30,92.709999,93.410004,92.709999,93.410004,93.410004,5000
2010-08-02,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-03,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-04,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-05,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-06,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-09,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-10,93.410004,93.410004,93.410004,93.410004,93.410004,0
2010-08-11,93.010002,93.010002,93.010002,93.010002,93.010002,0
2010-08-12,92.330002,92.330002,92.330002,92.330002,92.330002,0
2010-08-13,91.860001,91.860001,91.860001,91.860001,91.860001,0
2010-08-16,91.870003,91.870003,91.870003,91.870003,91.870003,0
2010-08-17,91.870003,91.870003,91.870003,91.870003,91.870003,0
2010-08-18,91.870003,91.870003,91.870003,91.870003,91.870003,0
2010-08-19,91.489998,91.489998,91.489998,91.489998,91.489998,0
2010-08-20,91.589996,91.589996,90.699997,90.699997,90.699997,398
2010-08-23,91.139999,91.139999,91.139999,91.139999,91.139999,0
2010-08-24,91.139999,91.139999,91.139999,91.139999,91.139999,0
2010-08-25,91.139999,91.139999,91.139999,91.139999,91.139999,0
2010-08-26,91.139999,91.139999,91.139999,91.139999,91.139999,0
2010-08-27,89.480003,90.139999,89.480003,90.139999,90.139999,300
2010-08-30,90.220001,90.220001,90.220001,90.220001,90.220001,0
2010-08-31,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-01,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-02,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-03,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-06,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-07,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-08,89.750000,89.750000,89.750000,89.750000,89.750000,0
2010-09-09,94.620003,94.620003,94.529999,94.529999,94.529999,1
2010-09-10,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-13,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-14,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-15,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-16,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-17,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-20,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-21,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-22,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-23,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-24,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-27,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-28,94.480003,94.480003,94.480003,94.480003,94.480003,0
2010-09-29,97.830002,97.830002,97.370003,97.660004,97.660004,2
2010-09-30,98.260002,98.260002,98.260002,98.260002,98.260002,1000
2010-10-01,97.459999,97.459999,97.459999,97.459999,97.459999,0
2010-10-04,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-05,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-06,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-07,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-08,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-11,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-12,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-13,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-14,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-15,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-18,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-19,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-20,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-21,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-22,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-25,96.949997,96.949997,96.949997,96.949997,96.949997,0
2010-10-26,96.949997,96.949997,96.949997,96.949997,96.949997,0
