Date,Open,High,Low,Close,Adj Close,Volume
2008-06-12,63.490002,63.490002,63.490002,63.490002,63.490002,0
2008-06-13,63.970001,63.970001,63.970001,63.970001,63.970001,0
2008-06-16,63.630001,63.630001,63.630001,63.630001,63.630001,0
2008-06-17,64.260002,64.260002,64.260002,64.260002,64.260002,0
2008-06-18,63.619999,63.619999,63.619999,63.619999,63.619999,0
2008-06-19,63.549999,63.549999,63.549999,63.549999,63.549999,0
2008-06-20,62.200001,62.200001,62.200001,62.200001,62.200001,0
2008-06-23,62.299999,62.299999,62.299999,62.299999,62.299999,0
2008-06-24,61.790001,61.790001,61.790001,61.790001,61.790001,0
2008-06-25,62.570000,62.570000,62.570000,62.570000,62.570000,0
2008-06-26,61.070000,61.070000,61.070000,61.070000,61.070000,0
2008-06-27,60.709999,60.709999,60.709999,60.709999,60.709999,0
2008-06-30,60.680000,60.680000,60.680000,60.680000,60.680000,0
2008-07-01,59.709999,59.709999,59.709999,59.709999,59.709999,0
2008-07-02,59.610001,59.610001,59.610001,59.610001,59.610001,0
2008-07-03,60.070000,60.070000,60.070000,60.070000,60.070000,0
2008-07-04,59.299999,59.299999,59.299999,59.299999,59.299999,0
2008-07-07,60.459999,60.459999,60.459999,60.459999,60.459999,0
2008-07-08,59.599998,59.599998,59.599998,59.599998,59.599998,0
2008-07-09,60.380001,60.380001,60.380001,60.380001,60.380001,0
2008-07-10,59.610001,59.610001,59.610001,59.610001,59.610001,0
2008-07-11,58.169998,58.169998,58.169998,58.169998,58.169998,0
2008-07-14,58.619999,58.619999,58.619999,58.619999,58.619999,0
2008-07-15,57.490002,57.490002,57.490002,57.490002,57.490002,0
2008-07-16,58.189999,58.189999,58.189999,58.189999,58.189999,0
2008-07-17,59.290001,59.290001,59.290001,59.290001,59.290001,0
2008-07-18,60.340000,60.340000,60.340000,60.340000,60.340000,0
2008-07-21,60.740002,60.740002,60.740002,60.740002,60.740002,0
2008-07-22,60.910000,60.910000,60.910000,60.910000,60.910000,0
2008-07-23,61.790001,61.790001,61.790001,61.790001,61.790001,0
2008-07-24,60.889999,60.889999,60.889999,60.889999,60.889999,0
2008-07-25,60.849998,60.849998,60.849998,60.849998,60.849998,0
2008-07-28,60.040001,60.040001,60.040001,60.040001,60.040001,0
2008-07-29,60.490002,60.490002,60.490002,60.490002,60.490002,0
2008-07-30,61.070000,61.070000,61.070000,61.070000,61.070000,0
2008-07-31,61.250000,61.250000,61.250000,61.250000,61.250000,0
2008-08-01,60.459999,60.459999,60.459999,60.459999,60.459999,0
2008-08-04,60.020000,60.020000,60.020000,60.020000,60.020000,0
2008-08-05,61.619999,61.619999,61.619999,61.619999,61.619999,0
2008-08-06,62.020000,62.020000,62.020000,62.020000,62.020000,0
2008-08-07,61.849998,61.849998,61.849998,61.849998,61.849998,0
2008-08-08,62.029999,62.029999,62.029999,62.029999,62.029999,0
2008-08-11,62.480000,62.480000,62.480000,62.480000,62.480000,0
2008-08-12,62.250000,62.250000,62.250000,62.250000,62.250000,0
